Combined Feature,Weight,Class,Feature,l1,l2,dist,dist_pix,a,angl
dissimilarity_test_dist_6_angl_4,0.105645637048918,Class 0,dissimilarity,test,dist,6,4,angl,4
homogeneity_test_dist_6_angl_4,0.125877925867158,Class 0,homogeneity,test,dist,6,4,angl,4
mean_test_dist_6_angl_2,0.139169747825894,Class 0,mean,test,dist,6,4,angl,2
entropy_test_dist_6_angl_3,0.141131849204332,Class 0,entropy,test,dist,6,4,angl,3
correlation_test_dist_6_angl_2,0.168809075727841,Class 0,correlation,test,dist,6,4,angl,2
ASM_test_dist_6_angl_3,0.193370129658082,Class 0,ASM,test,dist,6,4,angl,3
mean_test_dist_6_angl_1,0.298026025508917,Class 0,mean,test,dist,6,4,angl,1
energy_test_dist_6_angl_4,0.442043699631371,Class 0,energy,test,dist,6,4,angl,4
contrast_test_dist_6_angl_3,0.639721274995351,Class 0,contrast,test,dist,6,4,angl,3
homogeneity_test_dist_7_angl_2,-0.710191770523115,Class 0,homogeneity,test,dist,7,3,angl,2
dissimilarity_test_dist_7_angl_2,-0.358150324774498,Class 0,dissimilarity,test,dist,7,3,angl,2
contrast_test_dist_7_angl_4,-0.262816305969044,Class 0,contrast,test,dist,7,3,angl,4
dissimilarity_test_dist_7_angl_4,-0.244237359141662,Class 0,dissimilarity,test,dist,7,3,angl,4
std_test_dist_7_angl_2,-0.18645517185812,Class 0,std,test,dist,7,3,angl,2
std_test_dist_7_angl_4,-0.171001300207408,Class 0,std,test,dist,7,3,angl,4
variance_test_dist_7_angl_1,-0.145004545845289,Class 0,variance,test,dist,7,3,angl,1
homogeneity_test_dist_7_angl_4,-0.136441080020244,Class 0,homogeneity,test,dist,7,3,angl,4
variance_test_dist_7_angl_4,-0.125022822392133,Class 0,variance,test,dist,7,3,angl,4
energy_test_dist_7_angl_1,-0.124693199589946,Class 0,energy,test,dist,7,3,angl,1
correlation_test_dist_7_angl_2,-0.108030942808054,Class 0,correlation,test,dist,7,3,angl,2
homogeneity_test_dist_7_angl_3,-0.089406676728729,Class 0,homogeneity,test,dist,7,3,angl,3
energy_test_dist_7_angl_3,-0.082139032998458,Class 0,energy,test,dist,7,3,angl,3
std_test_dist_7_angl_1,-0.061989869316086,Class 0,std,test,dist,7,3,angl,1
correlation_test_dist_7_angl_3,-0.01799135083126,Class 0,correlation,test,dist,7,3,angl,3
energy_test_dist_7_angl_4,-0.015930752232233,Class 0,energy,test,dist,7,3,angl,4
mean_test_dist_7_angl_2,-0.011920676917876,Class 0,mean,test,dist,7,3,angl,2
correlation_test_dist_7_angl_4,-0.000443658106166,Class 0,correlation,test,dist,7,3,angl,4
ASM_test_dist_7_angl_3,-8.61464076740148E-05,Class 0,ASM,test,dist,7,3,angl,3
ASM_test_dist_7_angl_4,0.009753435648922,Class 0,ASM,test,dist,7,3,angl,4
entropy_test_dist_7_angl_3,0.014844881386747,Class 0,entropy,test,dist,7,3,angl,3
mean_test_dist_7_angl_1,0.017201777250452,Class 0,mean,test,dist,7,3,angl,1
entropy_test_dist_7_angl_4,0.024200684972861,Class 0,entropy,test,dist,7,3,angl,4
ASM_test_dist_7_angl_1,0.030594480181263,Class 0,ASM,test,dist,7,3,angl,1
variance_test_dist_7_angl_2,0.031714218724729,Class 0,variance,test,dist,7,3,angl,2
dissimilarity_test_dist_7_angl_1,0.033169403346012,Class 0,dissimilarity,test,dist,7,3,angl,1
entropy_test_dist_7_angl_1,0.042975388654419,Class 0,entropy,test,dist,7,3,angl,1
mean_test_dist_7_angl_3,0.051835655344462,Class 0,mean,test,dist,7,3,angl,3
ASM_test_dist_7_angl_2,0.052428486715665,Class 0,ASM,test,dist,7,3,angl,2
correlation_test_dist_7_angl_1,0.058514420977912,Class 0,correlation,test,dist,7,3,angl,1
entropy_test_dist_7_angl_2,0.078726810833868,Class 0,entropy,test,dist,7,3,angl,2
mean_test_dist_7_angl_4,0.085711988948249,Class 0,mean,test,dist,7,3,angl,4
dissimilarity_test_dist_7_angl_3,0.104203847255398,Class 0,dissimilarity,test,dist,7,3,angl,3
energy_test_dist_7_angl_2,0.130974853098729,Class 0,energy,test,dist,7,3,angl,2
variance_test_dist_7_angl_3,0.144485620912392,Class 0,variance,test,dist,7,3,angl,3
std_test_dist_7_angl_3,0.177690668238257,Class 0,std,test,dist,7,3,angl,3
contrast_test_dist_7_angl_1,0.357091020117686,Class 0,contrast,test,dist,7,3,angl,1
homogeneity_test_dist_7_angl_1,0.405249009124223,Class 0,homogeneity,test,dist,7,3,angl,1
contrast_test_dist_7_angl_3,0.425634027546334,Class 0,contrast,test,dist,7,3,angl,3
contrast_test_dist_7_angl_2,0.637876210821232,Class 0,contrast,test,dist,7,3,angl,2
entropy_test_dist_8_angl_2,-0.474460639835386,Class 0,entropy,test,dist,8,15,angl,2
contrast_test_dist_8_angl_1,-0.333355389820162,Class 0,contrast,test,dist,8,15,angl,1
mean_test_dist_8_angl_3,-0.303980630602837,Class 0,mean,test,dist,8,15,angl,3
ASM_test_dist_8_angl_2,-0.253637890255567,Class 0,ASM,test,dist,8,15,angl,2
correlation_test_dist_8_angl_2,-0.238763571959014,Class 0,correlation,test,dist,8,15,angl,2
std_test_dist_8_angl_1,-0.198358874196853,Class 0,std,test,dist,8,15,angl,1
entropy_test_dist_8_angl_4,-0.150185132827269,Class 0,entropy,test,dist,8,15,angl,4
correlation_test_dist_8_angl_4,-0.127590950516462,Class 0,correlation,test,dist,8,15,angl,4
mean_test_dist_8_angl_4,-0.100641640402353,Class 0,mean,test,dist,8,15,angl,4
ASM_test_dist_8_angl_4,-0.093523472713368,Class 0,ASM,test,dist,8,15,angl,4
