name,d,a,Dist_pix,Angle_rad,ROC_precise,ROC,bias,ASM,contrast,correlation,dissimilarity,energy,entropy,homogeneity,mean,std,variance
n_t_d_5_a_2_SVM_C_1_k_linear,[2],[1.57079633],2,1.57079633,0.750925436277102,0.75,-0.120601680468676,-0.019036053683511,0.94964284882981,1.04023392045841,0.190723431761113,-0.1183883503849,0.151201518356313,0.301734262097821,-1.36800253762983,1.58060159563927,-1.34319576748261
n_t_d_6_a_2_SVM_C_1_k_linear,[4],[1.57079633],4,1.57079633,0.751454257006875,0.75,-0.134409516556666,-0.187410286038359,1.00539829668729,1.09563138540461,0.263130098309484,-0.283471991639368,0.076311500501228,0.590072026934327,-1.38981928993002,1.5036432240982,-1.38749974936753
n_t_d_7_a_2_SVM_C_1_k_linear,[3],[1.57079633],3,1.57079633,0.75251189846642,0.75,-0.133442325431794,-0.121654344029302,0.964844123955326,1.06386633909082,0.239903006299947,-0.205975452707952,0.049141160350656,0.413560078483539,-1.37918258329956,1.57761240639075,-1.38156091470356
n_t_d_13_a_2_SVM_C_1_k_linear,[11],[1.57079633],11,1.57079633,0.753569539925965,0.75,-0.148640056696966,-0.103803921593992,0.908952729065591,1.03034475009397,0.394937006142295,-0.450050714940561,0.003943214275508,0.615979691346892,-1.37204625699797,1.39440398468043,-1.28219613281317
n_t_d_9_a_2_SVM_C_1_k_linear,[6],[1.57079633],6,1.57079633,0.754098360655738,0.75,-0.128885894136698,-0.236858232078444,1.0743927065264,1.10638557300206,0.219232026608706,-0.353701162942538,0.2614809577767,0.834250996156708,-1.43578188130367,1.43541936197934,-1.36877913529431
n_t_d_10_a_2_SVM_C_1_k_linear,[7],[1.57079633],7,1.57079633,0.754098360655738,0.75,-0.125919013500533,-0.193122676154464,1.10191095621743,1.11518823615447,0.211645467942776,-0.385606818129892,0.250353792572873,0.7952689470119,-1.43973101285373,1.38950270387573,-1.35762482565131
n_t_d_2_a_2_SVM_C_1_k_linear,[20],[1.57079633],20,1.57079633,0.75462718138551,0.75,-0.120879900195066,0.3055682220737,-0.20067925304719,0.778035988761984,1.46789335842533,-0.289024930013745,-0.549450825220767,-0.228268837343587,-1.61808328007106,1.47942764970989,-0.903371761650314
n_t_d_4_a_2_SVM_C_1_k_linear,[5],[1.57079633],5,1.57079633,0.756213643574828,0.76,-0.133736481638088,-0.207907246029133,1.04390088573154,1.11641076220252,0.249117451387171,-0.310646454826593,0.132712510175333,0.670531155184044,-1.4128525313158,1.42908260799147,-1.35479199058958
n_t_d_11_a_2_SVM_C_1_k_linear,[8],[1.57079633],8,1.57079633,0.756478053939714,0.76,-0.136058952989219,-0.188192185983851,1.08843848266179,1.11215881390331,0.227384408577015,-0.437593743319724,0.302559929384289,0.905610849467693,-1.40045221272345,1.37170100683571,-1.36795123011657
n_t_d_3_a_2_SVM_C_1_k_linear,[10],[1.57079633],10,1.57079633,0.756742464304601,0.76,-0.1468419045656,-0.127704669593363,1.06089779170364,1.11395842036235,0.315097002203435,-0.45521263847511,0.185925113468995,0.789143001551723,-1.38731765193377,1.34797204437912,-1.38505035923946
n_t_d_12_a_2_SVM_C_1_k_linear,[9],[1.57079633],9,1.57079633,0.757800105764146,0.76,-0.149418772718525,-0.169465860038741,1.10455380985027,1.12476059888539,0.244186699086547,-0.449092589680611,0.346537574460623,0.938195474271278,-1.43712680481818,1.34756320638483,-1.35324939052589
